cyclone,fichier
wp062023,s1a-iw-owi-cm-20230806t211820-20230806t211916-000003-05FBCB_ll_gd_GEO-IRWIN.nc
al092022,s1a-iw-owi-cm-20220925t233346-20220925t233501-000003-056602_ll_gd_GEO-IRWIN.nc
wp092020,s1b-iw-owi-cm-20200825t213226-20200825t213312-000003-02BD50_ll_gd_GEO-IRWIN.nc
wp272019,s1b-iw-owi-cm-20191119t095826-20191119t095943-000003-023D71_ll_gd_GEO-IRWIN.nc
al172022,s1a-iw-owi-cm-20221110t111737-20221110t111852-000003-057B92_ll_gd_GEO-IRWIN.nc
al172022,s1a-iw-owi-cm-20221109t231142-20221109t231322-000003-057B61_ll_gd_GEO-IRWIN.nc
ep152021,s1a-iw-owi-cm-20210909t130625-20210909t130746-000003-04AE83_ll_gd_GEO-IRWIN.nc
ep162022,s1a-iw-owi-cm-20221003t010527-20221003t010642-000003-05695E_ll_gd_GEO-IRWIN.nc
wp152024,rcm1-sc50ma-owi-cm-20240919t094649-20240919t094730-00003-______ll_gd_GEO-IRWIN.nc
al292020,s1a-iw-owi-cm-20201103t234046-20201103t234226-000003-04184A_ll_gd_GEO-IRWIN.nc
sh052023,rcm2-sclna-owi-cm-20221226t123931-20221226t124046-00003-______ll_gd_GEO-IRWIN.nc
sh052023,rcm1-sclnc-owi-cm-20221224t125515-20221224t125759-00003-______ll_gd_GEO-IRWIN.nc
al132019,s1a-iw-owi-cm-20191002t080415-20191002t080555-000003-0353A1_ll_gd_GEO-IRWIN.nc
al132019,s1a-ew-owi-cm-20190930t210003-20190930t210142-000003-0352F9_ll_gd_GEO-IRWIN.nc
al132019,s1a-ew-owi-cm-20190928t084309-20190928t084513-000003-0351A9_ll_gd_GEO-IRWIN.nc
al132019,s1b-ew-owi-cm-20190929t210610-20190929t210814-000003-02261A_ll_gd_GEO-IRWIN.nc
sh232024,rcm3-sc50mb-owi-cm-20240501t152256-20240501t152421-00003-______ll_gd_GEO-IRWIN.nc
wp232024,s1a-iw-owi-cm-20241031t215153-20241031t215312-000003-06E739_ll_gd_GEO-IRWIN.nc
wp022021,rcm2-sc50md-owi-cm-20210422t211644-20210422t212548-00003-______ll_gd_GEO-IRWIN.nc
wp022021,rcm1-sc50ma-owi-cm-20210420t094105-20210420t094513-00003-______ll_gd_GEO-IRWIN.nc
wp022021,s1a-iw-owi-cm-20210419t094935-20210419t095129-000003-046C7F_ll_gd_GEO-IRWIN.nc
wp022021,s1b-iw-owi-cm-20210420t094117-20210420t094300-000003-032B99_ll_gd_GEO-IRWIN.nc
wp022021,rcm1-sc50ma-owi-cm-20210419t093250-20210419t093822-00003-______ll_gd_GEO-IRWIN.nc
wp022021,s1b-iw-owi-cm-20210417t213016-20210417t213110-000003-032A68_ll_gd_GEO-IRWIN.nc
wp022021,s1a-iw-owi-cm-20210418t212223-20210418t212342-000003-046C42_ll_gd_GEO-IRWIN.nc
wp022021,rcm1-sc50md-owi-cm-20210418t211549-20210418t212533-00003-______ll_gd_GEO-IRWIN.nc
wp022021,rcm1-sc50md-owi-cm-20210417t211214-20210417t211638-00003-______ll_gd_GEO-IRWIN.nc
sh132023,s1a-ew-owi-cm-20230214t134626-20230214t134830-000003-05AAE6_ll_gd_GEO-IRWIN.nc
ep192023,rcm1-sc50ma-owi-cm-20231031t120038-20231031t120203-00003-______ll_gd_GEO-IRWIN.nc
ep192023,s1a-iw-owi-cm-20231102t002153-20231102t002312-000003-06273D_ll_gd_GEO-IRWIN.nc
wp192020,s1b-iw-owi-cm-20201020t095807-20201020t095922-000003-02D69A_ll_gd_GEO-IRWIN.nc
wp242024,s1a-iw-owi-cm-20241107t214556-20241107t214715-000003-06EB42_ll_gd_GEO-IRWIN.nc
al122021,rcm3-sc50mb-owi-cm-20210910t213138-20210910t213232-00003-______ll_gd_GEO-IRWIN.nc
al122021,s1b-iw-owi-cm-20210908t095420-20210908t095611-000003-0369DE_ll_gd_GEO-IRWIN.nc
sh222020,s1a-ew-owi-cm-20200316t020118-20200316t020322-000003-03A788_ll_gd_GEO-IRWIN.nc
io012019,s1a-iw-owi-cm-20190502t002158-20190502t002338-000003-030BAA_ll_gd_GEO-IRWIN.nc
sh252021,s1a-ew-owi-cm-20210307t144420-20210307t144624-000003-0456E5_ll_gd_GEO-IRWIN.nc
al052023,rcm2-sc50mb-owi-cm-20230724t091855-20230724t091954-00003-______ll_gd_GEO-IRWIN.nc
sh192024,s1a-iw-owi-cm-20240317t202418-20240317t202558-000003-066BA4_ll_gd_GEO-IRWIN.nc
sh132020,s1a-iw-owi-cm-20200214t021047-20200214t021202-000003-0397D1_ll_gd_GEO-IRWIN.nc
al162020,s1a-iw-owi-cm-20200902t235812-20200902t235927-000003-03F8BD_ll_gd_GEO-IRWIN.nc
al132023,s1a-iw-owi-cm-20230908t215511-20230908t215716-000003-060C3F_ll_gd_GEO-IRWIN.nc
al132023,s1a-iw-owi-cm-20230911t222105-20230911t222154-000003-060DC0_ll_gd_GEO-IRWIN.nc
wp162021,rcm2-sc50mc-owi-cm-20210821t212422-20210821t213358-00003-______ll_gd_GEO-IRWIN.nc
wp162021,rcm2-sc50mc-owi-cm-20210820t211551-20210820t212559-00003-______ll_gd_GEO-IRWIN.nc
sh052020,s1a-ew-owi-cm-20191231t144416-20191231t144620-000003-03813D_ll_gd_GEO-IRWIN.nc
wp152019,s1b-iw-owi-cm-20190905t214131-20190905t214336-000003-021B40_ll_gd_GEO-IRWIN.nc
wp222020,s1b-iw-owi-cm-20201031t212858-20201031t213128-000003-02DBDB_ll_gd_GEO-IRWIN.nc
wp222020,s1b-iw-owi-cm-20201101t095717-20201101t095857-000003-02DC13_ll_gd_GEO-IRWIN.nc
al182021,s1a-iw-owi-cm-20211001t100446-20211001t100540-000003-04B97E_ll_gd_GEO-IRWIN.nc
al182021,rcm1-sc50mc-owi-cm-20211002t095319-20211002t095655-00003-______ll_gd_GEO-IRWIN.nc
wp112021,rcm3-sc50mc-owi-cm-20210728t205201-20210728t205729-00003-______ll_gd_GEO-IRWIN.nc
al272020,rcm3-sc50mb-owi-cm-20201024t215346-20201024t215530-00003-______ll_gd_GEO-IRWIN.nc
al272020,rcm3-sc50mb-owi-cm-20201025t093303-20201025t093751-00003-______ll_gd_GEO-IRWIN.nc
al202020,s1a-ew-owi-cm-20200921t221437-20200921t221737-000003-040280_ll_gd_GEO-IRWIN.nc
al202020,s1a-ew-owi-cm-20200922t101602-20200922t101906-000003-0402C5_ll_gd_GEO-IRWIN.nc
al072021,s1b-iw-owi-cm-20210821t122505-20210821t122624-000003-0361CA_ll_gd_GEO-IRWIN.nc
al092019,s1a-iw-owi-cm-20190914t231126-20190914t231306-000003-034AF8_ll_gd_GEO-IRWIN.nc
wp242019,s1a-ew-owi-cm-20191107t193942-20191107t194146-000003-036628_ll_gd_GEO-IRWIN.nc
al072022,rcm1-sc50ma-owi-cm-20220923t214557-20220923t214656-00003-______ll_gd_GEO-IRWIN.nc
al072022,s1a-iw-owi-cm-20220924t101500-20220924t101604-000003-05653E_ll_gd_GEO-IRWIN.nc
al072022,rcm2-sc50mb-owi-cm-20220922t223853-20220922t224117-00003-______ll_gd_GEO-IRWIN.nc
al072022,s1a-iw-owi-cm-20220916t221920-20220916t222035-000003-056188_ll_gd_GEO-IRWIN.nc
al072022,s1a-iw-owi-cm-20220919t224452-20220919t224657-000003-056306_ll_gd_GEO-IRWIN.nc
ep152019,s1b-iw-owi-cm-20190922t013117-20190922t013211-000003-0222A9_ll_gd_GEO-IRWIN.nc
wp162020,s1b-iw-owi-cm-20201006t204525-20201006t204640-000003-02D075_ll_gd_GEO-IRWIN.nc
wp162020,s1a-iw-owi-cm-20201008t091245-20201008t091425-000003-040AD1_ll_gd_GEO-IRWIN.nc
wp072023,rcm3-sc50ma-owi-cm-20230817t082315-20230817t082431-00003-______ll_gd_GEO-IRWIN.nc
wp092021,s1b-iw-owi-cm-20210725t214953-20210725t215108-000003-0355E9_ll_gd_GEO-IRWIN.nc
wp092021,s1a-iw-owi-cm-20210721t213527-20210721t213718-000003-049689_ll_gd_GEO-IRWIN.nc
wp092021,rcm1-sc50ma-owi-cm-20210724t093303-20210724t094207-00003-______ll_gd_GEO-IRWIN.nc
sh212021,s1b-iw-owi-cm-20210220t030122-20210220t030237-000003-030FCF_ll_gd_GEO-IRWIN.nc
sh072021,s1b-iw-owi-cm-20201229t025114-20201229t025257-000003-02F6D8_ll_gd_GEO-IRWIN.nc
al222020,s1a-iw-owi-cm-20200920t000909-20200920t001024-000003-040179_ll_gd_GEO-IRWIN.nc
