annee,bassin,cyclone_numero,date_debut,date_fin,fichier
1996,WP,2,1996-03-29T18:00:00,1996-04-11T18:00:00,TCPRIMED_v01r01-final_WP021996_env_s19960329180000_e19960411180000.nc
1996,WP,3,1996-04-25T00:00:00,1996-04-26T06:00:00,TCPRIMED_v01r01-final_WP031996_env_s19960425000000_e19960426060000.nc
1996,WP,4,1996-05-07T00:00:00,1996-05-19T12:00:00,TCPRIMED_v01r01-final_WP041996_env_s19960507000000_e19960519120000.nc
1996,WP,5,1996-05-16T00:00:00,1996-05-24T00:00:00,TCPRIMED_v01r01-final_WP051996_env_s19960516000000_e19960524000000.nc
1996,WP,6,1996-07-03T12:00:00,1996-07-15T00:00:00,TCPRIMED_v01r01-final_WP061996_env_s19960703120000_e19960715000000.nc
1996,WP,7,1996-07-10T06:00:00,1996-07-27T18:00:00,TCPRIMED_v01r01-final_WP071996_env_s19960710060000_e19960727180000.nc
1996,WP,8,1996-07-19T12:00:00,1996-07-25T12:00:00,TCPRIMED_v01r01-final_WP081996_env_s19960719120000_e19960725120000.nc
1996,WP,9,1996-07-19T00:00:00,1996-07-27T18:00:00,TCPRIMED_v01r01-final_WP091996_env_s19960719000000_e19960727180000.nc
1996,WP,10,1996-07-21T06:00:00,1996-08-03T12:00:00,TCPRIMED_v01r01-final_WP101996_env_s19960721060000_e19960803120000.nc
1996,WP,11,1996-07-27T06:00:00,1996-08-01T06:00:00,TCPRIMED_v01r01-final_WP111996_env_s19960727060000_e19960801060000.nc
1996,WP,12,1996-07-25T12:00:00,1996-08-06T00:00:00,TCPRIMED_v01r01-final_WP121996_env_s19960725120000_e19960806000000.nc
1996,WP,13,1996-07-28T00:00:00,1996-08-16T12:00:00,TCPRIMED_v01r01-final_WP131996_env_s19960728000000_e19960816120000.nc
1996,WP,14,1996-08-04T00:00:00,1996-08-08T00:00:00,TCPRIMED_v01r01-final_WP141996_env_s19960804000000_e19960808000000.nc
1996,WP,15,1996-08-10T06:00:00,1996-08-17T06:00:00,TCPRIMED_v01r01-final_WP151996_env_s19960810060000_e19960817060000.nc
1996,WP,16,1996-08-11T12:00:00,1996-08-17T00:00:00,TCPRIMED_v01r01-final_WP161996_env_s19960811120000_e19960817000000.nc
1996,WP,17,1996-08-13T12:00:00,1996-08-17T00:00:00,TCPRIMED_v01r01-final_WP171996_env_s19960813120000_e19960817000000.nc
1996,WP,18,1996-08-13T12:00:00,1996-08-23T12:00:00,TCPRIMED_v01r01-final_WP181996_env_s19960813120000_e19960823120000.nc
1996,WP,19,1996-08-14T00:00:00,1996-09-04T18:00:00,TCPRIMED_v01r01-final_WP191996_env_s19960814000000_e19960904180000.nc
1996,WP,20,1996-08-19T00:00:00,1996-08-26T18:00:00,TCPRIMED_v01r01-final_WP201996_env_s19960819000000_e19960826180000.nc
1996,WP,21,1996-08-24T12:00:00,1996-08-30T00:00:00,TCPRIMED_v01r01-final_WP211996_env_s19960824120000_e19960830000000.nc
1996,WP,22,1996-08-27T00:00:00,1996-09-03T00:00:00,TCPRIMED_v01r01-final_WP221996_env_s19960827000000_e19960903000000.nc
1996,WP,23,1996-09-02T00:00:00,1996-09-10T12:00:00,TCPRIMED_v01r01-final_WP231996_env_s19960902000000_e19960910120000.nc
1996,WP,24,1996-09-06T00:00:00,1996-09-14T12:00:00,TCPRIMED_v01r01-final_WP241996_env_s19960906000000_e19960914120000.nc
1996,WP,25,1996-09-08T06:00:00,1996-09-22T12:00:00,TCPRIMED_v01r01-final_WP251996_env_s19960908060000_e19960922120000.nc
1996,WP,26,1996-09-09T18:00:00,1996-09-25T00:00:00,TCPRIMED_v01r01-final_WP261996_env_s19960909180000_e19960925000000.nc
1996,WP,27,1996-09-16T00:00:00,1996-09-23T12:00:00,TCPRIMED_v01r01-final_WP271996_env_s19960916000000_e19960923120000.nc
1996,WP,28,1996-09-17T06:00:00,1996-10-03T12:00:00,TCPRIMED_v01r01-final_WP281996_env_s19960917060000_e19961003120000.nc
1996,WP,29,1996-09-20T18:00:00,1996-10-06T00:00:00,TCPRIMED_v01r01-final_WP291996_env_s19960920180000_e19961006000000.nc
1996,WP,30,1996-10-09T06:00:00,1996-10-17T12:00:00,TCPRIMED_v01r01-final_WP301996_env_s19961009060000_e19961017120000.nc
1996,WP,31,1996-10-10T00:00:00,1996-10-18T06:00:00,TCPRIMED_v01r01-final_WP311996_env_s19961010000000_e19961018060000.nc
1996,WP,32,1996-10-07T12:00:00,1996-10-22T18:00:00,TCPRIMED_v01r01-final_WP321996_env_s19961007120000_e19961022180000.nc
1996,WP,33,1996-10-17T00:00:00,1996-10-27T00:00:00,TCPRIMED_v01r01-final_WP331996_env_s19961017000000_e19961027000000.nc
1996,WP,34,1996-10-24T12:00:00,1996-10-31T18:00:00,TCPRIMED_v01r01-final_WP341996_env_s19961024120000_e19961031180000.nc
1996,WP,35,1996-10-31T06:00:00,1996-11-04T06:00:00,TCPRIMED_v01r01-final_WP351996_env_s19961031060000_e19961104060000.nc
1996,WP,36,1996-11-02T00:00:00,1996-11-14T06:00:00,TCPRIMED_v01r01-final_WP361996_env_s19961102000000_e19961114060000.nc
1996,WP,37,1996-10-29T00:00:00,1996-11-18T06:00:00,TCPRIMED_v01r01-final_WP371996_env_s19961029000000_e19961118060000.nc
1996,WP,38,1996-11-04T06:00:00,1996-11-12T00:00:00,TCPRIMED_v01r01-final_WP381996_env_s19961104060000_e19961112000000.nc
1996,WP,39,1996-11-06T12:00:00,1996-11-10T00:00:00,TCPRIMED_v01r01-final_WP391996_env_s19961106120000_e19961110000000.nc
1996,WP,40,1996-11-23T00:00:00,1996-12-02T00:00:00,TCPRIMED_v01r01-final_WP401996_env_s19961123000000_e19961202000000.nc
1996,WP,41,1996-12-12T18:00:00,1996-12-21T00:00:00,TCPRIMED_v01r01-final_WP411996_env_s19961212180000_e19961221000000.nc
1996,WP,42,1996-12-17T12:00:00,1996-12-31T12:00:00,TCPRIMED_v01r01-final_WP421996_env_s19961217120000_e19961231120000.nc
1996,WP,43,1996-12-21T06:00:00,1996-12-27T06:00:00,TCPRIMED_v01r01-final_WP431996_env_s19961221060000_e19961227060000.nc
1997,AL,1,1997-05-31T18:00:00,1997-06-02T18:00:00,TCPRIMED_v01r01-final_AL011997_env_s19970531180000_e19970602180000.nc
1997,AL,2,1997-06-30T12:00:00,1997-07-05T00:00:00,TCPRIMED_v01r01-final_AL021997_env_s19970630120000_e19970705000000.nc
1997,AL,3,1997-07-11T06:00:00,1997-07-13T06:00:00,TCPRIMED_v01r01-final_AL031997_env_s19970711060000_e19970713060000.nc
1997,AL,4,1997-07-13T00:00:00,1997-07-16T18:00:00,TCPRIMED_v01r01-final_AL041997_env_s19970713000000_e19970716180000.nc
1997,AL,5,1997-07-16T12:00:00,1997-07-27T12:00:00,TCPRIMED_v01r01-final_AL051997_env_s19970716120000_e19970727120000.nc
1997,AL,6,1997-07-17T06:00:00,1997-07-19T00:00:00,TCPRIMED_v01r01-final_AL061997_env_s19970717060000_e19970719000000.nc
1997,AL,7,1997-09-03T06:00:00,1997-09-19T18:00:00,TCPRIMED_v01r01-final_AL071997_env_s19970903060000_e19970919180000.nc
1997,AL,8,1997-10-04T18:00:00,1997-10-08T18:00:00,TCPRIMED_v01r01-final_AL081997_env_s19971004180000_e19971008180000.nc
1997,AL,9,1997-10-14T12:00:00,1997-10-17T12:00:00,TCPRIMED_v01r01-final_AL091997_env_s19971014120000_e19971017120000.nc
1997,CP,1,1997-07-26T12:00:00,1997-07-27T18:00:00,TCPRIMED_v01r01-final_CP011997_env_s19970726120000_e19970727180000.nc
1997,CP,2,1997-08-28T06:00:00,1997-09-17T06:00:00,TCPRIMED_v01r01-final_CP021997_env_s19970828060000_e19970917060000.nc
