min_bt,max_bt,mean_bt,std_bt,bt_r0_20,bt_r20_50,bt_r50_70,bt_r70_100,grad_inner,grad_outer,bt_asym_index,vmax,vmean,vmin,Rmax,Rvmax_90,Rvmax_80,shear_mean,shear_deep,shear_shallow,shear_gradient,shear_cos,shear_sin,cps_sym,cps_depth,warm_core_index,wind_env_mag,wind_env_dir_x,wind_env_dir_y,twind_mean,twind_max,vort_mean,vort_max,vort_integral,ratio_eye_wall,ratio_wall_bt
182.82043,295.5312,238.8027,37.218674,211.27408,222.28989,230.8463,233.53441,11.015808,8.556412,32.641502,22.061642339501322,10.79450300987381,4.521932448858264,41.400483088968905,67.27152351835291,64.91141710445187,6.1461945,8.32227,3.9701185,4.352152,-0.6101958,0.6453372,2.0,0.0,0.0,1.7204491,-0.3994782,0.9167421,-0.59097457,1.085342,5.627217e-07,9.5238e-06,1.29426e-05,0.9504439,1.3294855
194.50551,296.16418,246.72195,28.016949,205.943,219.51988,228.34279,241.90028,13.576889,8.8229065,13.53483,,,,,,,3.037922,4.807891,1.2679529,3.539938,0.3655486,-0.40946335,2.0,0.0,0.0,3.2992074,-0.70302474,0.711165,-1.512828,0.538398,2.2455781e-06,5.7387e-06,5.1648298e-05,0.9381519,1.3491452
201.6503,294.2848,239.68126,24.326614,244.01637,215.6316,214.12279,222.22978,-28.384766,-1.5088196,10.824604,46.400000000000006,30.83140414835665,8.153274277717383,11.40175425099138,17.605240287454134,24.483154438341813,7.103568,12.739277,1.4678593,11.271418,-0.8326056,0.21094698,2.0,0.0,0.0,6.8641424,0.9813459,0.1922499,4.0385423,5.7343664,-7.4799527e-06,2.8083e-06,-0.00017203891,1.1316354,1.3647572
198.58456,295.6948,238.5367,27.814962,225.32837,211.58531,211.15938,219.07863,-13.743057,-0.42593384,12.963784,45.16,34.17396304252369,12.23531925906499,18.601075237738275,19.252158010955462,23.55184955837784,2.8229475,4.1623936,1.4835014,2.6788921,0.4795898,0.609353,2.0,0.0,0.0,4.1607647,0.55246377,0.8335366,1.3595572,3.435492,-7.3631604e-06,2.0757002e-06,-0.00016935269,1.0649529,1.3975204
187.09773,297.99133,251.21431,34.937298,249.34001,254.54988,250.03244,241.58266,5.2098694,-4.517441,28.192423,33.739993811151116,16.602459904366352,6.460659851073979,18.027756377319946,34.15915104468632,28.24054427636665,8.074867,11.528778,4.6209574,6.9078207,-0.4335993,-0.7864955,2.0,0.0,0.0,2.5736382,-0.41408864,0.9102362,0.13004783,1.8117521,-6.1633946e-06,3.5409003e-06,-0.00014175808,0.979533,1.1706599
200.24281,294.20868,263.31955,29.675848,267.35654,253.81834,253.49854,258.76923,-13.538193,-0.31980896,27.237673,42.699999999996855,27.68096941943194,10.078241749285095,17.46424919657298,17.633447657281994,19.18201011465994,12.144136,16.155228,8.133045,8.022182,0.6837392,0.71695364,2.0,0.0,0.0,6.0249395,-0.22490387,0.9743808,2.1379867,6.8410735,-1.0988999e-06,5.1282004e-06,-2.52747e-05,1.0533382,1.1591309
189.5027,293.97308,238.51312,26.504498,202.12741,208.2014,212.1318,216.25761,6.07399,3.9304047,6.7578673,41.19999999999828,19.691637506879466,8.571836228883155,9.433981132056603,9.6907427570592,11.909760372375542,3.7667794,3.53292,4.000639,-0.46771908,-0.72613394,-0.66033995,2.0,0.0,0.0,7.0176544,-0.9924083,-0.122985564,0.56366444,2.4911592,-1.6987816e-07,1.1599501e-05,-3.907198e-06,0.9708264,1.411965
191.77393,291.58276,232.86931,24.451946,197.806,197.00357,203.89676,215.839,-0.8024292,6.8931885,7.127354,60.02,26.212846522464073,13.959614885052853,1.4142135623730951,4.114359643375501,5.9878956575121824,3.0991535,3.375741,2.822566,0.553175,-0.81024146,-0.34097084,2.0,0.0,0.0,6.9288964,-0.9986021,-0.05285473,-0.768397,2.2988741,2.8136083e-07,1.11111e-05,6.471299e-06,1.0040731,1.4800887
192.22888,293.79077,237.8678,28.227634,199.30624,210.61293,216.77763,224.97562,11.306686,6.1647034,20.214165,48.739999999999995,32.51757236398572,13.96619701883373,9.486832980505138,13.595382907945574,21.6646479485608,3.7215705,5.6174345,1.8257065,3.791728,-0.08783576,0.06542662,2.0,0.0,0.0,5.259073,-0.77528965,0.6316057,0.5904171,5.0848703,3.3444786e-07,1.1599501e-05,7.692301e-06,0.94631535,1.3949323
264.2879,293.8873,286.30716,4.7783117,291.36707,289.2441,287.89493,286.7257,-2.1229553,-1.3491821,3.57909,17.787271724048217,9.904898474345297,2.70032847178748,37.73592452822641,44.29242599511652,63.70356225902541,15.970391,22.446545,9.494238,12.952307,0.5616192,0.7925676,2.0,1.0,2.0,6.8093286,0.47418526,0.8804249,1.3545411,6.050568,-6.402287e-06,-8.5470003e-07,-0.0001472526,1.0073397,1.0160528
