,sid,name,date,wind_speed (m/s),lon,lat,ir_path
65,sh062024,ANGGREK,2024-01-18 15:00:00,23,93.6,-12.05,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240118150000.nc
66,sh062024,ANGGREK,2024-01-18 18:00:00,23,93.5,-12.2,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240118180000.nc
67,sh062024,ANGGREK,2024-01-18 21:00:00,26,93.4,-12.3,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240118210000.nc
68,sh062024,ANGGREK,2024-01-19 00:00:00,28,93.3,-12.4,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240119000000.nc
69,sh062024,ANGGREK,2024-01-19 03:00:00,30,93.15,-12.45,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240119030000.nc
70,sh062024,ANGGREK,2024-01-19 06:00:00,31,93.0,-12.5,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240119060000.nc
71,sh062024,ANGGREK,2024-01-19 09:00:00,31,92.85,-12.55,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240119090000.nc
72,sh062024,ANGGREK,2024-01-19 12:00:00,31,92.7,-12.6,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240119120000.nc
73,sh062024,ANGGREK,2024-01-19 15:00:00,33,92.6,-12.6,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240119150000.nc
74,sh062024,ANGGREK,2024-01-19 18:00:00,36,92.5,-12.6,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240119180000.nc
75,sh062024,ANGGREK,2024-01-19 21:00:00,37,92.65,-12.5,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240119210000.nc
76,sh062024,ANGGREK,2024-01-20 00:00:00,39,92.8,-12.4,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240120000000.nc
77,sh062024,ANGGREK,2024-01-20 03:00:00,37,92.7,-12.45,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240120030000.nc
78,sh062024,ANGGREK,2024-01-20 06:00:00,36,92.6,-12.5,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240120060000.nc
79,sh062024,ANGGREK,2024-01-20 09:00:00,36,92.55,-12.45,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240120090000.nc
80,sh062024,ANGGREK,2024-01-20 12:00:00,36,92.5,-12.4,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240120120000.nc
81,sh062024,ANGGREK,2024-01-20 15:00:00,36,92.45,-12.35,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240120150000.nc
